424819,2f847524-b49b-4354-b1f8-6fc644f5b126,David Brown,Brown+V+ David,\N,\N,\N,\N,\N,\N,1,\N,\N,of Dangerhouse+V+ Metrosquad etc,0,\N,f,\N,\N
1237056,7938a031-6dc2-49e7-830e-6068a98cff71,Z,Z,\N,\N,\N,\N,\N,\N,\N,73,\N,French rap+V+ has song "Face à face" with Messaoud,0,2020-04-15 09:00:33.498237+00,f,\N,\N
435824,25236e8d-e08a-4b9d-8e00-312f1dd67ce5,Jazzékiel,Jazzékiel,2001,\N,\N,\N,\N,\N,2,97,\N,,0,2020-10-22 19:01:11.064926+00,f,721,\N
550179,f56521fe-1bbf-4ad0-a3fc-70040a0ba190,Farryl Purkiss,Purkiss+V+ Farryl,1980,3,20,\N,\N,\N,1,193,1,,0,2021-04-10 15:02:10.239346+00,f,7320,\N
324519,96cdf2ef-8cca-45bc-b7ee-3fd9ac1cc008,Plans & Apologies,Plans & Apologies,\N,\N,\N,\N,\N,\N,2,3833,\N,,0,2018-11-29 20:53:37.108508+00,f,\N,\N
453237,ab88434b-56fb-4761-9e53-539d7372f7c4,David Brown,Brown+V+ David,\N,\N,\N,\N,\N,\N,1,13,1,Candlesnuffer,0,2018-09-06 20:04:18.697863+00,f,\N,\N
455278,f37edc6e-9434-4273-ba11-54d585548313,Geronimo,Geronimo,\N,\N,\N,\N,\N,\N,2,57,\N,danish metal band,0,2012-03-23 08:00:38.747818+00,f,\N,\N
674054,d60583e5-3bb9-4b00-acd6-26e7a6066f3a,Beans on Toast,Beans on Toast,1980,12,1,\N,\N,\N,1,221,1,,0,2019-03-02 11:03:31.760727+00,f,8054,\N
457668,4679aa64-912a-42d9-a7cf-1a0ae18a8db6,Nuke and the Living Dead,Nuke and the Living Dead,2002,12,\N,\N,\N,\N,2,\N,\N,,0,\N,f,\N,\N
358491,edff19c3-f1c5-4b71-868b-9718cd4a6401,Rake,Rake,1990,\N,\N,\N,\N,\N,2,\N,\N,Bill Kellum's avant rock band,0,\N,f,\N,\N
460976,f65bf8f2-a1a9-4c12-a654-e24c1204691d,Marshall Titus,Titus+V+ Marshall,\N,\N,\N,\N,\N,\N,1,\N,\N,,0,\N,f,\N,\N
2644295,a6d03f0f-7aa9-4509-87ad-1fa8b869bfed,Cake,Cake,\N,\N,\N,\N,\N,\N,\N,\N,\N,Hip-Hop/Rap,0,2023-11-26 03:46:17.083104+00,f,\N,\N
465239,f0e1d4ee-68ee-4e22-95e8-d3c6caf2fd93,Batucada Sound Machine,Batucada Sound Machine,2003,\N,\N,\N,\N,\N,2,153,\N,,0,2011-06-13 14:21:43.940472+00,f,\N,\N
241792,6ea7ae52-a14b-47f1-a662-ca0fd2bf4022,Dixebra,Dixebra,1987,1,6,\N,\N,\N,2,1812,\N,,0,2013-05-26 12:42:21.224504+00,f,1812,\N
471013,df169747-2cd9-451c-acc2-44f068697c9e,Pataky Attila,Pataky+V+ Attila,1951,7,2,\N,\N,\N,1,97,1,,0,2018-11-21 22:22:34.775554+00,f,738,\N
